player_key,player_id,player_name,competition,role,seasons,first_season,last_season,bat_innings,runs,balls,fours,sixes,bat_pp_runs,bat_pp_balls,bat_mid_runs,bat_mid_balls,bat_death_runs,bat_death_balls,sample,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr,bowl_innings,runs_conceded,balls_bowled,wickets,bowl_pp_runs,bowl_pp_balls,bowl_mid_runs,bowl_mid_balls,bowl_death_runs,bowl_death_balls,wides,noballs,economy,bowling_sr,wickets_per_innings,wide_rate,noball_rate,bowl_pp_economy,bowl_mid_economy,bowl_death_economy,min_sample,impact_raw,impact_reliability,impact_score,impact_percentile,cluster,profile_type,domestic_player_key,closest_ipl_player,closest_ipl_profile_type,closest_ipl_impact_percentile,similarity_score,distance,sample_percentile,similarity_percentile,scouting_score,scouting_reason
faa7365d,faa7365d,DR Shorey,SMA,bat,4,2016,2021,23.0,493.0,434.0,43.0,16.0,157.0,153.0,271.0,243.0,65.0,38.0,23.0,113.59447004608295,21.434782608695652,13.594470046082948,102.61437908496731,111.52263374485597,171.05263157894737,,,,,,,,,,,,,,,,,,,,,15,-0.31754023716557855,0.696969696969697,-0.2213159228729791,31.914893617021278,3,Balanced batting profile,faa7365d,RS Bopara,Balanced batting profile,48.57142857142857,64.1267454935355,0.5594117435771134,59.86842105263158,59.210526315789465,42.931830907054874,"Balanced batting profile; SR 113.6, RPI 21.4, boundary% 13.6; closest IPL comp: RS Bopara"
a63563c0,a63563c0,Diwesh Pathania,SMA,bat,3,2018,2021,15.0,182.0,133.0,11.0,10.0,0.0,0.0,26.0,23.0,156.0,110.0,15.0,136.8421052631579,12.133333333333333,15.789473684210526,,113.04347826086956,141.8181818181818,,,,,,,,,,,,,,,,,,,,,15,-0.24037137111146997,0.6,-0.14422282266688208,37.02127659574468,3,Balanced batting profile,a63563c0,NLTC Perera,Balanced batting profile,49.42857142857143,68.77355573602149,0.45404725595165124,3.618421052631579,78.28947368421053,42.32789753639418,"Balanced batting profile; SR 136.8, RPI 12.1, boundary% 15.8; closest IPL comp: NLTC Perera"
4d5a1617,4d5a1617,R Bishnoi,SMA,bat,4,2016,2021,21.0,326.0,270.0,21.0,20.0,84.0,63.0,163.0,154.0,79.0,53.0,21.0,120.74074074074075,15.523809523809524,15.185185185185185,133.33333333333331,105.84415584415585,149.0566037735849,,,,,,,,,,,,,,,,,,,,,15,-0.41858969820921765,0.6774193548387096,-0.28356076330301844,27.23404255319149,3,Balanced batting profile,4d5a1617,RA Jadeja,Balanced batting profile,46.85714285714286,66.17659096801104,0.5111083622959481,49.34210526315789,71.71052631578947,41.669372900335944,"Balanced batting profile; SR 120.7, RPI 15.5, boundary% 15.2; closest IPL comp: RA Jadeja"
3a0dc16e,3a0dc16e,Snehal Kauthankar,SMA,bat,4,2016,2022,20.0,392.0,365.0,39.0,5.0,130.0,139.0,219.0,196.0,43.0,30.0,20.0,107.3972602739726,19.6,12.054794520547945,93.5251798561151,111.73469387755102,143.33333333333334,,,,,,,,,,,,,,,,,,,,,15,-0.6278818697873575,0.6666666666666666,-0.4185879131915717,18.29787234042553,3,Balanced batting profile,3a0dc16e,JEC Franklin,Balanced batting profile,36.285714285714285,76.18778715494258,0.3125463244736415,41.118421052631575,96.71052631578947,41.324118141097415,"Balanced batting profile; SR 107.4, RPI 19.6, boundary% 12.1; closest IPL comp: JEC Franklin"
d30c6f81,d30c6f81,Vishvaraj Jadeja,SMA,bat,5,2018,2024,18.0,315.0,266.0,30.0,7.0,93.0,93.0,130.0,116.0,92.0,57.0,18.0,118.42105263157893,17.5,13.909774436090224,100.0,112.06896551724137,161.4035087719298,,,,,,,,,,,,,,,,,,,,,15,-0.4208274931830047,0.6428571428571429,-0.2705319599033603,28.936170212765955,3,Balanced batting profile,d30c6f81,EJG Morgan,Balanced batting profile,47.14285714285714,69.58775559231876,0.4370344200472848,26.644736842105267,79.60526315789474,41.25972844344904,"Balanced batting profile; SR 118.4, RPI 17.5, boundary% 13.9; closest IPL comp: EJG Morgan"
9c86350f,9c86350f,H Desai,SMA,bat,5,2019,2024,21.0,345.0,288.0,50.0,8.0,292.0,242.0,53.0,46.0,0.0,0.0,21.0,119.79166666666667,16.428571428571427,20.13888888888889,120.66115702479338,115.21739130434783,,,,,,,,,,,,,,,,,,,,,,15,-0.13813772981187022,0.6774193548387096,-0.09357717180804119,41.27659574468085,3,Balanced batting profile,9c86350f,HC Brook,Balanced batting profile,47.714285714285715,56.868497594645376,0.7584427975008752,49.34210526315789,32.89473684210527,40.39095744680851,"Balanced batting profile; SR 119.8, RPI 16.4, boundary% 20.1; closest IPL comp: HC Brook"
cf9d3356,cf9d3356,Chetan Bist,SMA,bat,4,2018,2022,19.0,466.0,405.0,33.0,16.0,99.0,85.0,229.0,223.0,138.0,97.0,19.0,115.06172839506172,24.526315789473685,12.098765432098766,116.47058823529413,102.69058295964126,142.2680412371134,,,,,,,,,,,,,,,,,,,,,15,-0.18898820614696937,0.6551724137931034,-0.12381985919973863,38.72340425531915,3,Balanced batting profile,cf9d3356,HH Gibbs,Balanced batting profile,48.285714285714285,60.94585941338278,0.6408005558133376,33.55263157894737,48.026315789473685,40.27351623740201,"Balanced batting profile; SR 115.1, RPI 24.5, boundary% 12.1; closest IPL comp: HH Gibbs"
1f3febed,1f3febed,Dikshanshu Negi,SMA,bat,3,2019,2022,17.0,318.0,282.0,31.0,7.0,39.0,38.0,173.0,173.0,106.0,71.0,17.0,112.7659574468085,18.705882352941178,13.47517730496454,102.63157894736842,100.0,149.29577464788733,,,,,,,,,,,,,,,,,,,,,15,-0.4937834868416575,0.6296296296296297,-0.31090071393734003,24.25531914893617,3,Balanced batting profile,1f3febed,MK Tiwary,Balanced batting profile,43.714285714285715,71.07504626022128,0.4069635584038613,18.75,85.52631578947368,38.74727043673012,"Balanced batting profile; SR 112.8, RPI 18.7, boundary% 13.5; closest IPL comp: MK Tiwary"
0cb8626f,0cb8626f,Sudip Chatterjee,SMA,bat,5,2016,2023,21.0,399.0,348.0,44.0,3.0,165.0,143.0,177.0,161.0,57.0,44.0,21.0,114.65517241379311,19.0,13.505747126436782,115.38461538461537,109.93788819875776,129.54545454545453,,,,,,,,,,,,,,,,,,,,,15,-0.4361480356969375,0.6774193548387096,-0.29545512095598997,26.382978723404253,3,Balanced batting profile,0cb8626f,SS Tiwary,Balanced batting profile,44.57142857142857,64.22666273576024,0.5569857710249952,49.34210526315789,61.18421052631579,38.527155655095186,"Balanced batting profile; SR 114.7, RPI 19.0, boundary% 13.5; closest IPL comp: SS Tiwary"
cb932841,cb932841,AKS Bains,SMA,bat,5,2016,2022,23.0,433.0,362.0,54.0,9.0,312.0,245.0,115.0,111.0,6.0,6.0,23.0,119.61325966850829,18.82608695652174,17.403314917127073,127.3469387755102,103.60360360360362,100.0,,,,,,,,,,,,,,,,,,,,,15,-0.1454644691497908,0.696969696969697,-0.10138432698318761,40.42553191489361,3,Balanced batting profile,cb932841,C Munro,Balanced batting profile,49.714285714285715,52.51645318719824,0.9041651507489213,59.86842105263158,18.421052631578945,37.84084546472564,"Balanced batting profile; SR 119.6, RPI 18.8, boundary% 17.4; closest IPL comp: C Munro"
