role,cluster,players,sma_players,ipl_players,mean_sample,impact_score,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr,profile_type,economy,bowling_sr,wickets_per_innings,bowl_pp_economy,bowl_mid_economy,bowl_death_economy,wide_rate
bat,0,37,9,29,34.76315789473684,0.811351629060469,165.1388034788869,21.43353663123444,25.320275705992678,195.6230961813223,153.2350056495431,166.03159190397474,High-impact batting profile,,,,,,,
bat,1,104,24,80,20.60576923076923,-0.8435289956969823,90.28168138225786,7.1889455006852305,9.162445749231658,70.07933979867678,67.00518678188386,99.51607491115851,Balanced batting profile,,,,,,,
bat,2,165,85,105,57.257894736842104,0.5853203603145511,140.076577109849,26.295066051604095,19.015733679496382,124.94625258870188,133.03715418133746,181.36289270956254,Run-accumulation profile,,,,,,,
bat,3,234,117,136,33.790513833992094,-0.12404923292276247,122.08900781304945,17.088366036948134,14.69902337130702,96.33625447451631,110.68687708151852,147.9949659969526,Balanced batting profile,,,,,,,
bowl,0,161,101,64,39.57575757575758,0.48132669876394474,,,,,,,High-impact bowling profile,7.272593041708893,17.98374575279837,1.2001842948454455,6.886690322052006,6.8165962827406705,8.50027187113679,0.19942876741284798
bowl,1,34,5,30,18.0,-0.8229016475666245,,,,,,,Balanced bowling profile,8.993791783687973,39.736554052856576,0.3895415246424803,9.316413541508997,8.38170352236653,13.716025607391757,0.2071066604492238
bowl,2,150,80,79,37.44025157232704,-0.11914845428169281,,,,,,,Balanced bowling profile,7.481512178133288,25.928142214069883,0.72156521177853,7.286458364843136,7.161680249748944,9.176594350316835,0.16773361504167322
bowl,3,142,15,129,36.28472222222222,-0.1396085100354384,,,,,,,Balanced bowling profile,9.234107797113012,21.22789086501324,0.9306980626666361,9.208067354945461,8.8586201198545,10.665936651816272,0.33487946923945433
