player_key,player_id,player_name,competition,role,seasons,first_season,last_season,bat_innings,runs,balls,fours,sixes,bat_pp_runs,bat_pp_balls,bat_mid_runs,bat_mid_balls,bat_death_runs,bat_death_balls,sample,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr,bowl_innings,runs_conceded,balls_bowled,wickets,bowl_pp_runs,bowl_pp_balls,bowl_mid_runs,bowl_mid_balls,bowl_death_runs,bowl_death_balls,wides,noballs,economy,bowling_sr,wickets_per_innings,wide_rate,noball_rate,bowl_pp_economy,bowl_mid_economy,bowl_death_economy,min_sample,impact_raw,impact_reliability,impact_score,impact_percentile,cluster,profile_type
119678fd,119678fd,KV Sharma,SMA,bat,6,2016,2023,34.0,530.0,382.0,44.0,24.0,42.0,36.0,189.0,163.0,299.0,183.0,34.0,138.7434554973822,15.588235294117647,17.801047120418847,116.66666666666667,115.95092024539878,163.38797814207652,,,,,,,,,,,,,,,,,,,,,15,0.0944118657107812,0.7727272727272727,0.07295462350378541,56.17021276595745,3,Balanced batting group
1399b39c,1399b39c,Anmolpreet Singh,SMA,bat,5,2018,2023,33.0,954.0,678.0,85.0,37.0,201.0,177.0,498.0,384.0,255.0,117.0,33.0,140.7079646017699,28.90909090909091,17.99410029498525,113.55932203389831,129.6875,217.94871794871793,,,,,,,,,,,,,,,,,,,,,15,0.8914893090644584,0.7674418604651163,0.684166213933189,85.95744680851064,2,Run accumulators
145903a5,145903a5,Arjit Gupta,SMA,bat,3,2019,2022,15.0,252.0,184.0,17.0,18.0,24.0,18.0,152.0,115.0,76.0,51.0,15.0,136.95652173913044,16.8,19.021739130434785,133.33333333333331,132.17391304347825,149.01960784313727,,,,,,,,,,,,,,,,,,,,,15,0.18633735434381768,0.6,0.11180241260629051,57.87234042553191,2,Run accumulators
145c2a1f,145c2a1f,Govinda Poddar,SMA,bat,4,2016,2021,19.0,438.0,347.0,39.0,16.0,127.0,136.0,245.0,176.0,66.0,35.0,19.0,126.22478386167147,23.05263157894737,15.85014409221902,93.38235294117648,139.20454545454547,188.57142857142856,,,,,,,,,,,,,,,,,,,,,15,0.1516512844310635,0.6551724137931034,0.09935773807552427,57.02127659574469,2,Run accumulators
15bbe51b,15bbe51b,Lalhmangaiha,SMA,bat,3,2019,2022,20.0,240.0,338.0,32.0,2.0,145.0,201.0,69.0,114.0,26.0,23.0,20.0,71.00591715976331,12.0,10.059171597633137,72.13930348258707,60.526315789473685,113.04347826086956,,,,,,,,,,,,,,,,,,,,,15,-1.917357495180301,0.6666666666666666,-1.2782383301202005,2.9787234042553195,1,Low-output batting group
1ac746c8,1ac746c8,Atharva Taide,SMA,bat,4,2019,2024,25.0,631.0,505.0,70.0,18.0,453.0,361.0,178.0,144.0,0.0,0.0,25.0,124.95049504950495,25.24,17.425742574257423,125.48476454293629,123.61111111111111,,,,,,,,,,,,,,,,,,,,,,15,0.32686283427908625,0.7142857142857143,0.2334734530564901,66.38297872340425,2,Run accumulators
1b7c4d69,1b7c4d69,M Mohammed,SMA,bat,3,2018,2021,16.0,110.0,63.0,8.0,7.0,14.0,8.0,0.0,0.0,96.0,55.0,16.0,174.6031746031746,6.875,23.809523809523807,175.0,,174.54545454545453,,,,,,,,,,,,,,,,,,,,,15,0.6612327144860094,0.6153846153846154,0.406912439683698,76.59574468085107,0,High-impact power hitters
1c17e270,1c17e270,RV Uthappa,SMA,bat,4,2016,2021,29.0,766.0,584.0,69.0,34.0,326.0,257.0,327.0,249.0,113.0,78.0,29.0,131.16438356164383,26.413793103448278,17.636986301369863,126.84824902723734,131.32530120481925,144.87179487179486,,,,,,,,,,,,,,,,,,,,,15,0.5335742214925118,0.7435897435897436,0.39676031854571386,75.74468085106383,2,Run accumulators
1dc12ab9,1dc12ab9,SK Raina,SMA,bat,4,2016,2021,23.0,630.0,465.0,53.0,25.0,203.0,136.0,331.0,267.0,96.0,62.0,23.0,135.48387096774192,27.391304347826086,16.7741935483871,149.26470588235296,123.97003745318351,154.83870967741936,,,,,,,,,,,,,,,,,,,,,15,0.6354286693562035,0.696969696969697,0.4428745271270509,77.4468085106383,2,Run accumulators
1e66c162,1e66c162,JD Unadkat,SMA,bat,6,2016,2024,23.0,282.0,180.0,19.0,17.0,0.0,0.0,66.0,57.0,216.0,123.0,23.0,156.66666666666666,12.26086956521739,20.0,,115.78947368421053,175.609756097561,,,,,,,,,,,,,,,,,,,,,15,0.3947468514342456,0.696969696969697,0.2751265934238681,68.08510638297872,2,Run accumulators
