player_key,player_id,player_name,competition,role,seasons,first_season,last_season,bat_innings,runs,balls,fours,sixes,bat_pp_runs,bat_pp_balls,bat_mid_runs,bat_mid_balls,bat_death_runs,bat_death_balls,sample,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr,bowl_innings,runs_conceded,balls_bowled,wickets,bowl_pp_runs,bowl_pp_balls,bowl_mid_runs,bowl_mid_balls,bowl_death_runs,bowl_death_balls,wides,noballs,economy,bowling_sr,wickets_per_innings,wide_rate,noball_rate,bowl_pp_economy,bowl_mid_economy,bowl_death_economy,min_sample,impact_raw,impact_reliability,impact_score,impact_percentile,cluster,profile_type,domestic_player_key,closest_ipl_player,closest_ipl_profile_type,closest_ipl_impact_percentile,similarity_score,distance,sample_percentile,similarity_percentile,scouting_score,scouting_reason
09a71776,09a71776,Satyajeet Bachhav,SMA,bowl,4,2016,2021,,,,,,,,,,,,34.0,,,,,,,34.0,864.0,786.0,41.0,196.0,180.0,541.0,504.0,127.0,102.0,18.0,1.0,6.595419847328245,19.170731707317074,1.2058823529411764,0.13740458015267176,0.0076335877862595426,6.533333333333333,6.44047619047619,7.470588235294118,15,0.6760705001709706,0.7727272727272727,0.5224181137684772,85.57213930348259,0,High-impact strike/control bowlers,09a71776,SP Narine,High-impact strike/control bowlers,98.01324503311258,57.84379120451834,0.7287940143209133,94.26229508196722,77.8688524590164,84.94984095913873,"High-impact strike/control bowlers; economy 6.60, bowling SR 19.2, WPI 1.21; closest IPL comp: SP Narine"
9d704f6f,9d704f6f,SZ Mulani,SMA,bowl,5,2018,2023,,,,,,,,,,,,31.0,,,,,,,31.0,731.0,679.0,35.0,237.0,222.0,448.0,421.0,46.0,36.0,17.0,0.0,6.459499263622975,19.4,1.1290322580645162,0.15022091310751107,0.0,6.405405405405405,6.38479809976247,7.666666666666666,15,0.6451508672826184,0.7560975609756098,0.4877969972136871,84.5771144278607,0,High-impact strike/control bowlers,9d704f6f,SP Narine,High-impact strike/control bowlers,98.01324503311258,59.00919192194841,0.6946512355612364,90.1639344262295,81.9672131147541,84.76266209933937,"High-impact strike/control bowlers; economy 6.46, bowling SR 19.4, WPI 1.13; closest IPL comp: SP Narine"
bee290b6,bee290b6,Suboth Bhati,SMA,bowl,4,2016,2021,,,,,,,,,,,,33.0,,,,,,,33.0,903.0,709.0,43.0,166.0,144.0,278.0,252.0,459.0,313.0,18.0,1.0,7.6417489421720735,16.488372093023255,1.303030303030303,0.15232722143864597,0.00846262341325811,6.916666666666666,6.6190476190476195,8.798722044728436,15,0.38471053642326936,0.7674418604651163,0.29524296981320675,71.64179104477611,0,High-impact strike/control bowlers,bee290b6,Azhar Mahmood,High-impact strike/control bowlers,88.41059602649007,65.27687891868362,0.5319359880022984,92.62295081967213,95.08196721311475,80.64900905309517,"High-impact strike/control bowlers; economy 7.64, bowling SR 16.5, WPI 1.30; closest IPL comp: Azhar Mahmood"
d4b8ea98,d4b8ea98,Sayan Ghosh,SMA,bowl,4,2018,2024,,,,,,,,,,,,25.0,,,,,,,25.0,662.0,534.0,32.0,124.0,114.0,225.0,192.0,313.0,228.0,27.0,1.0,7.438202247191011,16.6875,1.28,0.3033707865168539,0.011235955056179775,6.526315789473685,7.03125,8.236842105263158,15,0.4499220417462203,0.7142857142857143,0.321372886961586,73.6318407960199,0,High-impact strike/control bowlers,d4b8ea98,KK Cooper,High-impact strike/control bowlers,91.72185430463577,62.991760489910334,0.5875092110819388,71.31147540983606,89.34426229508196,77.21189136285784,"High-impact strike/control bowlers; economy 7.44, bowling SR 16.7, WPI 1.28; closest IPL comp: KK Cooper"
7b5b6311,7b5b6311,CV Milind,SMA,bowl,5,2016,2023,,,,,,,,,,,,31.0,,,,,,,31.0,871.0,667.0,40.0,332.0,282.0,133.0,126.0,406.0,259.0,18.0,1.0,7.835082458770614,16.675,1.2903225806451613,0.16191904047976013,0.008995502248875561,7.063829787234042,6.333333333333334,9.405405405405405,15,0.2676525250683195,0.7560975609756098,0.20237142139311964,63.681592039801,0,High-impact strike/control bowlers,7b5b6311,Azhar Mahmood,High-impact strike/control bowlers,88.41059602649007,72.43381040807853,0.3805707505461707,90.1639344262295,99.18032786885246,76.52862735502814,"High-impact strike/control bowlers; economy 7.84, bowling SR 16.7, WPI 1.29; closest IPL comp: Azhar Mahmood"
d3611425,d3611425,LI Meriwala,SMA,bowl,6,2018,2024,,,,,,,,,,,,40.0,,,,,,,40.0,999.0,830.0,62.0,362.0,348.0,216.0,180.0,421.0,302.0,10.0,0.0,7.2216867469879515,13.387096774193548,1.55,0.07228915662650603,0.0,6.241379310344827,7.199999999999999,8.364238410596027,15,1.0015108644445438,0.8,0.8012086915556351,94.5273631840796,0,High-impact strike/control bowlers,d3611425,AD Mascarenhas,High-impact strike/control bowlers,97.35099337748345,40.82571702289558,1.4494364653514529,97.95081967213115,16.39344262295082,75.50740151700514,"High-impact strike/control bowlers; economy 7.22, bowling SR 13.4, WPI 1.55; closest IPL comp: AD Mascarenhas"
18e6906e,18e6906e,A Choudhary,SMA,bowl,4,2018,2022,,,,,,,,,,,,25.0,,,,,,,25.0,565.0,510.0,30.0,250.0,270.0,36.0,36.0,279.0,204.0,13.0,1.0,6.647058823529412,17.0,1.2,0.15294117647058825,0.011764705882352941,5.555555555555555,6.0,8.205882352941178,15,0.7332764079655123,0.7142857142857143,0.5237688628325088,86.06965174129353,0,High-impact strike/control bowlers,18e6906e,A Kumble,High-impact strike/control bowlers,97.68211920529801,51.360324014546045,0.9470282152363064,71.31147540983606,46.72131147540984,74.01884022510399,"High-impact strike/control bowlers; economy 6.65, bowling SR 17.0, WPI 1.20; closest IPL comp: A Kumble"
3bc10d5b,3bc10d5b,Pankaj Jaswal,SMA,bowl,5,2016,2022,,,,,,,,,,,,30.0,,,,,,,30.0,717.0,559.0,43.0,272.0,201.0,207.0,180.0,238.0,178.0,13.0,1.0,7.695885509838998,13.0,1.4333333333333333,0.13953488372093023,0.010733452593917711,8.119402985074627,6.8999999999999995,8.022471910112358,15,0.6510807208832897,0.75,0.48831054066246726,85.07462686567165,0,High-impact strike/control bowlers,3bc10d5b,Imran Tahir,High-impact strike/control bowlers,99.00662251655629,49.73635824043046,1.0106015707179472,86.88524590163934,39.34426229508197,73.91362857841938,"High-impact strike/control bowlers; economy 7.70, bowling SR 13.0, WPI 1.43; closest IPL comp: Imran Tahir"
e1e7f950,e1e7f950,Akshay Karnewar,SMA,bowl,5,2016,2022,,,,,,,,,,,,43.0,,,,,,,43.0,820.0,849.0,43.0,137.0,114.0,543.0,612.0,140.0,123.0,22.0,0.0,5.795053003533569,19.74418604651163,1.0,0.15547703180212014,0.0,7.2105263157894735,5.323529411764706,6.829268292682927,15,0.8088341988583703,0.8113207547169812,0.6562239726586778,90.04975124378109,0,High-impact strike/control bowlers,e1e7f950,SP Narine,High-impact strike/control bowlers,98.01324503311258,42.01866007179494,1.3798950235237293,99.18032786885246,18.852459016393443,73.62001468069488,"High-impact strike/control bowlers; economy 5.80, bowling SR 19.7, WPI 1.00; closest IPL comp: SP Narine"
4312e8f9,4312e8f9,A Sheth,SMA,bowl,7,2016,2024,,,,,,,,,,,,44.0,,,,,,,44.0,1145.0,888.0,59.0,492.0,420.0,228.0,183.0,425.0,285.0,14.0,0.0,7.736486486486486,15.05084745762712,1.3409090909090908,0.09459459459459459,0.0,7.0285714285714285,7.475409836065574,8.947368421052632,15,0.4408191601189477,0.8148148148148148,0.3591859823191425,75.62189054726367,0,High-impact strike/control bowlers,4312e8f9,CV Varun,High-impact strike/control bowlers,94.70198675496688,52.47487912663432,0.9056737559828637,100.0,50.81967213114754,73.0780523611451,"High-impact strike/control bowlers; economy 7.74, bowling SR 15.1, WPI 1.34; closest IPL comp: CV Varun"
cd8d2859,cd8d2859,DG Nalkande,SMA,bowl,4,2019,2024,,,,,,,,,,,,26.0,,,,,,,26.0,659.0,514.0,45.0,363.0,276.0,132.0,112.0,164.0,126.0,36.0,2.0,7.692607003891052,11.422222222222222,1.7307692307692308,0.42023346303501946,0.023346303501945526,7.891304347826088,7.071428571428571,7.80952380952381,15,1.058723264726887,0.7222222222222222,0.7646334689694183,94.02985074626866,0,High-impact strike/control bowlers,cd8d2859,CRD Fernando,High-impact strike/control bowlers,96.68874172185431,40.81290475800227,1.450205409121065,75.81967213114754,15.573770491803279,71.68430389038414,"High-impact strike/control bowlers; economy 7.69, bowling SR 11.4, WPI 1.73; closest IPL comp: CRD Fernando"
