domestic_player_key,domestic_player_name,role,domestic_sample,domestic_impact_score,domestic_impact_percentile,domestic_profile_type,match_rank,ipl_player_key,ipl_player_name,ipl_sample,ipl_impact_score,ipl_impact_percentile,ipl_profile_type,distance,similarity_score
0494fa6e,Vishnu Vinod,bat,27.0,0.7239011744791537,88.08510638297872,Run accumulators,1,d7017798,A Raghuvanshi,30.0,0.7392338060920419,86.57142857142858,Run accumulators,0.5254123855970942,65.5560430374091
0494fa6e,Vishnu Vinod,bat,27.0,0.7239011744791537,88.08510638297872,Run accumulators,2,1dc12ab9,SK Raina,200.0,0.6589829419191231,83.14285714285714,Run accumulators,0.5585929613463652,64.16043346789955
0494fa6e,Vishnu Vinod,bat,27.0,0.7239011744791537,88.08510638297872,Run accumulators,3,752f7486,Ishan Kishan,125.0,0.8168663582627755,88.85714285714286,Run accumulators,0.5741205417007391,63.5275363930873
0861a8d6,Rajesh Dhuper,bat,19.0,-0.46157354168055437,16.170212765957448,Balanced batting group,1,cf73ad76,JEC Franklin,16.0,-0.1638173169835694,36.285714285714285,Balanced batting group,0.5613423044318969,64.04745437060681
0861a8d6,Rajesh Dhuper,bat,19.0,-0.46157354168055437,16.170212765957448,Balanced batting group,2,8291f939,AL Menaria,23.0,-0.22073864392921058,32.857142857142854,Balanced batting group,0.6329340033726222,61.239462093056076
0861a8d6,Rajesh Dhuper,bat,19.0,-0.46157354168055437,16.170212765957448,Balanced batting group,3,c15e2193,FY Fazal,11.0,-0.20929424255586931,33.42857142857143,Balanced batting group,0.6892078767548849,59.19934507534306
0af3426f,SS Mundhe,bat,26.0,0.17555220849050135,62.12765957446808,Balanced batting group,1,a4e37e47,S Dube,86.0,0.5972190282937664,80.57142857142857,Run accumulators,0.7433901060614625,57.35950872516569
0af3426f,SS Mundhe,bat,26.0,0.17555220849050135,62.12765957446808,Balanced batting group,2,d67d5f00,DA Miller,142.0,0.45499630701708466,73.42857142857143,Run accumulators,0.7684562140129937,56.5464947379609
0af3426f,SS Mundhe,bat,26.0,0.17555220849050135,62.12765957446808,Balanced batting group,3,bd77eb62,A Symonds,36.0,0.37640379650488426,68.85714285714286,Balanced batting group,0.7813120152271972,56.138396387140254
0cb8626f,Sudip Chatterjee,bat,21.0,-0.29545512095598997,26.382978723404253,Balanced batting group,1,709b0bac,SS Tiwary,73.0,-0.029835480733073863,44.57142857142857,Balanced batting group,0.5569857710249952,64.22666273576024
0cb8626f,Sudip Chatterjee,bat,21.0,-0.29545512095598997,26.382978723404253,Balanced batting group,2,aaa1b522,TL Suman,39.0,-0.13102102902438076,39.14285714285714,Balanced batting group,0.5576616879401509,64.19879282788281
0cb8626f,Sudip Chatterjee,bat,21.0,-0.29545512095598997,26.382978723404253,Balanced batting group,3,8291f939,AL Menaria,23.0,-0.22073864392921058,32.857142857142854,Balanced batting group,0.5958349773327224,62.66312082414684
0ed1a112,Ganesh Satish,bat,30.0,-0.7892833647563628,8.085106382978724,Low-output batting group,1,addbde6c,N Saini,10.0,-0.33999094770956784,26.857142857142858,Low-output batting group,0.588388917472528,62.956873408007496
0ed1a112,Ganesh Satish,bat,30.0,-0.7892833647563628,8.085106382978724,Low-output batting group,2,ad427b5c,Lalit Yadav,21.0,-0.3765542785099856,24.857142857142858,Balanced batting group,0.9460377354497292,51.38646500957496
0ed1a112,Ganesh Satish,bat,30.0,-0.7892833647563628,8.085106382978724,Low-output batting group,3,541f85c9,SP Goswami,21.0,-0.44904935778791566,21.714285714285715,Low-output batting group,0.97833685620585,50.547508977710116
0edcb652,Subhransu Senapati,bat,20.0,0.17242047287376397,61.702127659574465,Run accumulators,1,6a26221c,AK Markram,66.0,0.4500784262455406,73.14285714285714,Run accumulators,0.5917006359316441,62.82588430422322
0edcb652,Subhransu Senapati,bat,20.0,0.17242047287376397,61.702127659574465,Run accumulators,2,30a45b23,SPD Smith,93.0,0.3834654997179694,69.71428571428572,Run accumulators,0.7203459214284261,58.12784437967492
0edcb652,Subhransu Senapati,bat,20.0,0.17242047287376397,61.702127659574465,Run accumulators,3,e087956b,BA Stokes,43.0,0.28042181303440666,63.142857142857146,Run accumulators,0.7542385066689908,57.00479132104077
10b58586,AR Easwaran,bat,20.0,0.2996389230764717,68.93617021276596,Run accumulators,1,d027ba9f,KS Williamson,76.0,0.38942647619096465,70.28571428571428,Run accumulators,0.5096346691534331,66.2411920203698
10b58586,AR Easwaran,bat,20.0,0.2996389230764717,68.93617021276596,Run accumulators,2,29e95537,AM Rahane,195.0,0.41188467011430124,71.42857142857143,Run accumulators,0.5146703519689416,66.02096612639744
10b58586,AR Easwaran,bat,20.0,0.2996389230764717,68.93617021276596,Run accumulators,3,30a45b23,SPD Smith,93.0,0.3834654997179694,69.71428571428572,Run accumulators,0.5364761593385889,65.08399065758839
