metric,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr
strike_rate,1.0,0.5535577795553605,0.8733118633616156,0.6325983479878902,0.6970691356725508,0.810035500067285
runs_per_innings,0.5535577795553605,1.0,0.5083462977874613,0.430625747088019,0.5621299740041674,0.538279949888568
boundary_pct,0.8733118633616156,0.5083462977874613,1.0,0.6321087284126069,0.6425330962599338,0.7135286498614901
bat_pp_sr,0.6325983479878902,0.430625747088019,0.6321087284126069,1.0,0.30782807648992666,0.1447459990447232
bat_mid_sr,0.6970691356725508,0.5621299740041674,0.6425330962599338,0.30782807648992666,1.0,0.304425836869044
bat_death_sr,0.810035500067285,0.538279949888568,0.7135286498614901,0.1447459990447232,0.304425836869044,1.0
