player_key,player_name,player_id,competition,season,bat_innings,runs,balls,fours,sixes,bat_pp_runs,bat_pp_balls,bat_mid_runs,bat_mid_balls,bat_death_runs,bat_death_balls,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr,role,bowl_innings,runs_conceded,balls_bowled,wickets,bowl_pp_runs,bowl_pp_balls,bowl_mid_runs,bowl_mid_balls,bowl_death_runs,bowl_death_balls,wides,noballs,economy,bowling_sr,wickets_per_innings,bowl_pp_economy,bowl_mid_economy,bowl_death_economy,wide_rate,noball_rate,caf_strike_rate,caf_runs_per_innings,caf_boundary_pct,caf_bat_pp_sr,caf_bat_mid_sr,caf_bat_death_sr,caf_economy,caf_bowling_sr,caf_wickets_per_innings,caf_bowl_pp_economy,caf_bowl_mid_economy,caf_bowl_death_economy,shrunk_strike_rate,shrunk_runs_per_innings,shrunk_boundary_pct,shrunk_bat_pp_sr,shrunk_bat_mid_sr,shrunk_bat_death_sr,shrunk_economy,shrunk_bowling_sr,shrunk_wickets_per_innings,shrunk_bowl_pp_economy,shrunk_bowl_mid_economy,shrunk_bowl_death_economy,impact_raw,impact_reliability,impact_score,impact_percentile
00852db7,Rohit Dangwal,00852db7,SMA,2019,2.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,10.0,0.5,0.0,,0.0,14.285714285714285,bat,,,,,,,,,,,,,,,,,,,,,9.753441289820218,0.3969500953664721,0.0,,0.0,13.11454958095785,,,,,,,99.73510466661101,10.294216814368461,11.465373677036116,,92.31475684570496,108.88348469062844,,,,,,,-1.4020565150333288,0.16666666666666666,-0.2336760858388881,3.825527350732928
00ea847a,MA Agarwal,00ea847a,IPL,2011,7.0,141.0,120.0,16.0,4.0,97.0,81.0,44.0,39.0,0.0,0.0,117.5,20.142857142857142,16.666666666666664,119.75308641975309,112.82051282051282,,bat,,,,,,,,,,,,,,,,,,,,,114.60293515538757,15.991418127620731,15.713669478527605,116.25623575775784,105.71261696544224,,,,,,,,110.25503578420424,12.504399874767344,13.416070638684733,108.41540962108611,102.62640627272611,,,,,,,,0.3194960847307257,0.4117647058823529,0.13155721135971057,63.398914518317504
00ea847a,MA Agarwal,00ea847a,IPL,2012,12.0,225.0,158.0,19.0,15.0,98.0,76.0,52.0,55.0,75.0,27.0,142.40506329113924,18.75,21.518987341772153,128.94736842105263,94.54545454545455,277.77777777777777,bat,,,,,,,,,,,,,,,,,,,,,138.8939424183259,14.885628576242702,20.28853527607362,125.18204007665243,88.5889203330235,255.00513074084705,,,,,,,120.04352278455352,12.634575395008927,15.490645131489938,112.98771532452655,96.68724045630597,169.66466040381482,,,,,,,0.5657304718598244,0.5454545454545454,0.30858025737808603,78.66350067842606
00ea847a,MA Agarwal,00ea847a,IPL,2013,5.0,67.0,62.0,6.0,3.0,49.0,47.0,14.0,10.0,4.0,5.0,108.06451612903226,13.4,14.516129032258066,104.25531914893618,140.0,80.0,bat,,,,,,,,,,,,,,,,,,,,,105.40009135773461,10.638262555821452,13.686099223233724,101.2110111258041,131.17974741620787,73.44147765336396,,,,,,,108.06663507497899,11.154807300179218,12.826748680438527,104.77909860376162,107.47293550746195,109.45659809194918,,,,,,,-0.033453815888444434,0.3333333333333333,-0.011151271962814823,45.45454545454545
00ea847a,MA Agarwal,00ea847a,IPL,2014,8.0,115.0,91.0,12.0,3.0,84.0,69.0,25.0,20.0,6.0,2.0,126.37362637362637,14.375,16.483516483516482,121.73913043478262,125.0,300.0,bat,,,,,,,,,,,,,,,,,,,,,123.25777454168407,11.412315241786072,15.540991791950379,118.18428628354765,117.12477447875702,275.40554120011484,,,,,,,112.88312915783122,11.320621130702206,13.448791258228486,109.24631070476434,105.99724451555592,163.30185334402958,,,,,,,0.18593778179723844,0.4444444444444444,0.08263901413210595,58.00542740841248
00ea847a,MA Agarwal,00ea847a,IPL,2015,10.0,213.0,177.0,23.0,7.0,118.0,103.0,81.0,64.0,14.0,10.0,120.33898305084745,21.3,16.94915254237288,114.5631067961165,126.5625,140.0,bat,,,,,,,,,,,,,,,,,,,,,117.3719206063111,16.91007406261171,15.980002859519598,111.21780616281147,118.58883415974148,128.52258589338692,,,,,,,111.61282087163042,13.159320345049677,13.734608316333018,107.52001570310449,107.22709974009746,121.81444743219262,,,,,,,0.38815332933309793,0.5,0.19407666466654896,69.4708276797829
00ea847a,MA Agarwal,00ea847a,IPL,2016,3.0,27.0,25.0,3.0,1.0,27.0,25.0,0.0,0.0,0.0,0.0,108.0,9.0,16.0,108.0,,,bat,,,,,,,,,,,,,,,,,,,,,105.33716593005836,7.145101716596497,15.085122699386503,104.84634540297583,,,,,,,,,108.29030077721639,10.744094559789682,12.934503869258872,105.5635411162586,,,,,,,,,-0.15834494295227344,0.23076923076923078,-0.03654114068129389,40.400271370420626
00ea847a,MA Agarwal,00ea847a,IPL,2017,3.0,26.0,27.0,3.0,0.0,26.0,27.0,0.0,0.0,0.0,0.0,96.29629629629629,8.666666666666666,11.11111111111111,96.29629629629629,,,bat,,,,,,,,,,,,,,,,,,,,,93.9220272353058,6.880468319685516,10.475779652351738,93.48439576397021,,,,,,,,,106.8013696431182,10.709577160192598,12.33328521094999,104.08154768508395,,,,,,,,,-0.3596097389200019,0.23076923076923078,-0.08298686282769277,30.73270013568521
00ea847a,MA Agarwal,00ea847a,IPL,2018,11.0,120.0,94.0,9.0,5.0,43.0,33.0,66.0,54.0,11.0,7.0,127.65957446808511,10.909090909090908,14.893617021276595,130.3030303030303,122.22222222222223,157.14285714285714,bat,,,,,,,,,,,,,,,,,,,,,124.51201646579003,8.6607293534503,14.042002512726798,126.49811594635132,114.52200171256243,144.26004539053633,,,,,,,114.33218068417716,10.353125568171823,13.119362855960947,113.06134467338339,106.15053772399018,127.61509881702612,,,,,,,0.044240318957590494,0.5238095238095238,0.023173500406356917,50.644504748982364
00ea847a,MA Agarwal,00ea847a,IPL,2019,13.0,332.0,234.0,26.0,14.0,86.0,79.0,231.0,146.0,15.0,9.0,141.8803418803419,25.53846153846154,17.094017094017094,108.86075949367088,158.2191780821918,166.66666666666669,bat,,,,,,,,,,,,,,,,,,,,,138.38215847095353,20.274989486410576,16.116584080541134,105.6819702842935,148.25108440872808,153.00307844450825,,,,,,,120.41313576388477,14.825870698445778,13.99253981641907,105.67539464123746,119.94511357330225,132.0681086003187,,,,,,,0.7115748549028593,0.5652173913043478,0.40219448320596396,84.53188602442334
