competition,role,metric,non_null,mean,median,std,min,q25,q75,max
IPL,bat,bat_innings,2948,6.310379918588874,5.0,4.845755265078957,1.0,2.0,11.0,19.0
IPL,bat,runs,2948,128.16519674355496,50.5,158.4781835153799,0.0,9.0,206.0,973.0
IPL,bat,balls,2948,96.17910447761194,44.0,111.98996767803693,1.0,11.0,156.0,640.0
IPL,bat,strike_rate,2948,111.4819557254897,117.77901371894697,49.871280590824405,0.0,86.07456140350877,140.0,400.0
IPL,bat,runs_per_innings,2948,14.21330239995421,12.074175824175825,11.470174662631665,0.0,4.428571428571429,22.119485294117645,69.0
IPL,bat,boundary_pct,2948,13.376793860884028,14.208382777362694,10.209735935681353,0.0,6.25,18.957065584854632,100.0
IPL,bat,bat_pp_sr,1465,108.84958333308956,112.5,51.38690351482942,0.0,80.95238095238095,136.986301369863,400.0
IPL,bat,bat_mid_sr,2120,108.37398938673405,112.67104542966612,45.98547636624558,0.0,84.1578947368421,135.46187683284455,400.0
IPL,bat,bat_death_sr,2563,129.0392099796423,133.33333333333331,67.69859029079697,0.0,85.71428571428571,174.1060025542784,560.0
IPL,bat,shrunk_strike_rate,2948,111.69719526419047,109.93188419687759,8.2527437649418,90.23776390003881,105.87774412070965,116.39029261140684,156.7018619425837
IPL,bat,shrunk_runs_per_innings,2948,12.126048289771859,11.049051011963655,2.5122773720349967,8.078359124358835,10.582907792816805,13.120565650713425,27.726215425236887
IPL,bat,shrunk_boundary_pct,2948,13.134879931444646,12.752886669790744,1.6546634389729686,9.622061303843047,12.011343852133074,13.946933367520842,23.258130452654974
IPL,bat,bowl_innings,0,,,,,,,
IPL,bat,runs_conceded,0,,,,,,,
IPL,bat,balls_bowled,0,,,,,,,
IPL,bat,wickets,0,,,,,,,
IPL,bat,economy,0,,,,,,,
IPL,bat,bowling_sr,0,,,,,,,
IPL,bat,wickets_per_innings,0,,,,,,,
IPL,bat,bowl_pp_economy,0,,,,,,,
IPL,bat,bowl_mid_economy,0,,,,,,,
IPL,bat,bowl_death_economy,0,,,,,,,
IPL,bat,shrunk_economy,0,,,,,,,
IPL,bat,shrunk_bowling_sr,0,,,,,,,
IPL,bat,shrunk_wickets_per_innings,0,,,,,,,
IPL,bowl,bat_innings,0,,,,,,,
IPL,bowl,runs,0,,,,,,,
IPL,bowl,balls,0,,,,,,,
IPL,bowl,strike_rate,0,,,,,,,
IPL,bowl,runs_per_innings,0,,,,,,,
IPL,bowl,boundary_pct,0,,,,,,,
IPL,bowl,bat_pp_sr,0,,,,,,,
IPL,bowl,bat_mid_sr,0,,,,,,,
IPL,bowl,bat_death_sr,0,,,,,,,
IPL,bowl,shrunk_strike_rate,0,,,,,,,
IPL,bowl,shrunk_runs_per_innings,0,,,,,,,
IPL,bowl,shrunk_boundary_pct,0,,,,,,,
IPL,bowl,bowl_innings,2199,6.6302864938608455,5.0,4.794476458479913,1.0,2.0,11.0,19.0
IPL,bowl,runs_conceded,2199,177.69395179627102,137.0,140.93630423223357,0.0,54.0,294.0,566.0
IPL,bowl,balls_bowled,2199,128.38653933606184,96.0,107.73233180788459,1.0,36.0,210.5,420.0
IPL,bowl,wickets,2199,6.07412460209186,4.0,6.142499046671677,0.0,1.0,10.0,32.0
IPL,bowl,economy,2199,9.093684699367587,8.597014925373134,2.6220792620100406,0.0,7.544657097288676,10.0,36.0
IPL,bowl,bowling_sr,1809,24.89161097045463,21.333333333333332,14.044907550888952,1.0,16.636363636363637,28.375,144.0
IPL,bowl,wickets_per_innings,2199,0.7660332827938917,0.7857142857142857,0.5333134282071683,0.0,0.375,1.0769230769230769,4.0
