player_name,player_key,competition,season,role,bowl_innings,impact_score,impact_percentile,impact_reliability,economy,bowling_sr,wickets_per_innings
SL Malinga,a12e1d51,IPL,2011,bowl,16.0,0.8170655453714322,100.0,0.6153846153846154,5.9523809523809526,13.5,1.75
JJ Bumrah,462411b3,IPL,2020,bowl,15.0,0.8007896518632398,99.95452478399272,0.6,6.774193548387098,12.827586206896552,1.9333333333333333
HV Patel,f986ca1a,IPL,2021,bowl,15.0,0.7779952003843046,99.90904956798545,0.6,8.14792899408284,10.5625,2.1333333333333333
SP Narine,9d430b40,IPL,2012,bowl,15.0,0.7673773557724624,99.86357435197817,0.6,5.476056338028169,14.791666666666666,1.6
Sohail Tanvir,64d43928,IPL,2008,bowl,11.0,0.7619241432660688,99.8180991359709,0.5238095238095238,6.461538461538462,11.227272727272727,2.0
JD Unadkat,1e66c162,IPL,2017,bowl,12.0,0.7442420609206077,99.77262391996362,0.5454545454545454,7.025454545454545,11.458333333333334,2.0
K Rabada,e62dd25d,IPL,2019,bowl,12.0,0.742116902047121,99.72714870395635,0.5454545454545454,7.8125,11.076923076923077,2.1666666666666665
JP Faulkner,808f425a,IPL,2013,bowl,16.0,0.7408671094572069,99.68167348794907,0.6153846153846154,6.759894459102902,13.535714285714286,1.75
B Kumar,2e81a32d,IPL,2017,bowl,14.0,0.7325436873520804,99.6361982719418,0.5833333333333334,7.050955414012739,12.076923076923077,1.8571428571428572
DJ Bravo,87e562a9,IPL,2013,bowl,18.0,0.6895442733408546,99.59072305593452,0.6428571428571429,7.952,11.71875,1.7777777777777777
MM Sharma,759ac88f,IPL,2023,bowl,14.0,0.6834762991108679,99.54524783992724,0.5833333333333334,8.173584905660377,9.814814814814815,1.9285714285714286
K Rabada,e62dd25d,IPL,2020,bowl,17.0,0.6762514360949994,99.49977262391997,0.6296296296296297,8.312342569269521,12.40625,1.8823529411764706
SP Narine,9d430b40,IPL,2013,bowl,16.0,0.6677019819387946,99.45429740791269,0.6153846153846154,5.46875,17.454545454545453,1.375
Imran Tahir,acee4cc4,IPL,2019,bowl,17.0,0.6579835637592505,99.40882219190541,0.6296296296296297,6.699481865284974,14.846153846153847,1.5294117647058822
SL Malinga,a12e1d51,IPL,2012,bowl,14.0,0.6576620940014083,99.36334697589814,0.5833333333333334,6.306306306306307,15.136363636363637,1.5714285714285714
B Kumar,2e81a32d,IPL,2026,bowl,13.0,0.6424752689278853,99.31787175989086,0.5652173913043478,7.7058823529411775,12.75,1.8461538461538463
MA Starc,3fb19989,IPL,2015,bowl,12.0,0.6323912148885837,99.27239654388357,0.5454545454545454,6.767441860465116,12.9,1.6666666666666667
PWH de Silva,a97c8ec2,IPL,2022,bowl,16.0,0.6209708190748983,99.22692132787631,0.6153846153846154,7.5438596491228065,13.153846153846153,1.625
MM Patel,f0f628c7,IPL,2011,bowl,15.0,0.6127279505206554,99.18144611186904,0.6,6.588957055214724,14.818181818181818,1.4666666666666666
A Kumble,0c2730df,IPL,2009,bowl,16.0,0.6113038495179991,99.13597089586176,0.6153846153846154,5.864788732394366,16.904761904761905,1.3125
