metric,economy,bowling_sr,wickets_per_innings,bowl_pp_economy,bowl_mid_economy,bowl_death_economy
economy,1.0,0.08398156824578384,-0.32794257088469986,0.6639643761598989,0.7693168941935431,0.6049821617601928
bowling_sr,0.08398156824578384,1.0,-0.6587973706837505,0.05285715492081216,0.0792539839196751,0.13464138675401538
wickets_per_innings,-0.32794257088469986,-0.6587973706837505,1.0,-0.2104590648950046,-0.2896433748869736,-0.25124619971453904
bowl_pp_economy,0.6639643761598989,0.05285715492081216,-0.2104590648950046,1.0,0.1901751890729053,0.13345839713110255
bowl_mid_economy,0.7693168941935431,0.0792539839196751,-0.2896433748869736,0.1901751890729053,1.0,0.1857946318936142
bowl_death_economy,0.6049821617601928,0.13464138675401538,-0.25124619971453904,0.13345839713110255,0.1857946318936142,1.0
