player_name,player_key,competition,season,role,bat_innings,impact_score,impact_percentile,impact_reliability,strike_rate,runs_per_innings,boundary_pct
RR Pant,919a3be2,SMA,2018,bat,6.0,1.0600669176810567,100.0,0.375,197.43589743589746,64.16666666666667,32.30769230769231
SA Yadav,271f83cd,SMA,2019,bat,19.0,0.9563911049632551,99.96424740793708,0.6551724137931034,156.83297180043382,38.05263157894737,22.99349240780911
Harpreet Singh,28c78fb3,SMA,2019,bat,11.0,0.9325441235468473,99.92849481587415,0.5238095238095238,148.2051282051282,52.54545454545455,18.71794871794872
Abhishek Sharma,f29185a1,SMA,2023,bat,7.0,0.930021008669915,99.89274222381123,0.4117647058823529,194.85714285714286,48.714285714285715,30.28571428571429
Anmolpreet Singh,1399b39c,SMA,2023,bat,7.0,0.9246849705881618,99.8569896317483,0.4117647058823529,197.63313609467457,47.714285714285715,30.17751479289941
D Padikkal,2c25d4f5,SMA,2019,bat,11.0,0.9182882135924808,99.82123703968537,0.5238095238095238,169.62962962962962,41.63636363636363,26.666666666666668
Rohan Kadam,673314ef,SMA,2019,bat,17.0,0.898743402663461,99.78548444762245,0.6296296296296297,133.3913043478261,45.11764705882353,19.130434782608695
MK Pandey,93b4fc78,SMA,2019,bat,15.0,0.8987130024559465,99.74973185555953,0.6,165.5072463768116,38.06666666666667,21.44927536231884
KK Nair,944533a5,SMA,2018,bat,9.0,0.8514339407805955,99.7139792634966,0.47368421052631576,173.542600896861,43.0,25.112107623318387
SP Jackson,acc1aeda,SMA,2021,bat,11.0,0.8479339829141949,99.67822667143368,0.5238095238095238,147.8386167146974,46.63636363636363,20.461095100864554
P Simran Singh,9418198b,SMA,2021,bat,10.0,0.8104519892197776,99.64247407937076,0.5,143.19526627218934,48.4,19.526627218934912
JM Sharma,800d2d97,SMA,2021,bat,11.0,0.8033371736137753,99.60672148730782,0.5238095238095238,202.23880597014926,24.636363636363637,30.597014925373134
AA Barot,b690f34a,SMA,2021,bat,5.0,0.8026501014835787,99.5709688952449,0.3333333333333333,184.96732026143792,56.6,28.75816993464052
SS Iyer,85ec8e33,SMA,2019,bat,17.0,0.8010536858736521,99.53521630318198,0.6296296296296297,148.0952380952381,36.588235294117645,19.523809523809526
HV Patel,f986ca1a,SMA,2019,bat,12.0,0.7740477076313149,99.49946371111905,0.5454545454545454,165.4867256637168,31.166666666666668,28.761061946902654
M Vohra,c03e2850,SMA,2021,bat,8.0,0.75423458214768,99.46371111905613,0.4444444444444444,141.01694915254237,52.0,18.305084745762713
N Rana,fb2d1dda,SMA,2016,bat,8.0,0.7426017114991091,99.42795852699321,0.4444444444444444,175.88235294117646,37.375,27.058823529411764
Rahul Singh,adf454e9,SMA,2021,bat,8.0,0.7419260504742322,99.39220593493027,0.4444444444444444,160.1851851851852,43.25,23.61111111111111
PA Patel,b5da6c24,SMA,2016,bat,9.0,0.7386841436844233,99.35645334286735,0.47368421052631576,162.80193236714976,37.44444444444444,26.570048309178745
SP Goswami,541f85c9,SMA,2018,bat,7.0,0.7290038706355019,99.32070075080443,0.4117647058823529,152.19298245614036,49.57142857142857,21.49122807017544
