iteration,train_log_loss,validation_log_loss
1,1.304701394065918,1.3410147719992478
2,1.267909390169671,1.3400405106325375
3,1.2331015951633166,1.3407826584594758
4,1.2036956139492152,1.3339915308140626
5,1.1768598828465042,1.3360474398386297
6,1.1504383010292425,1.3331808689581959
7,1.1268818129593767,1.328267302617407
8,1.1055263578699213,1.3228193325764537
9,1.0820797751899232,1.3238825865819797
10,1.061467113269689,1.319049261305486
11,1.0414599829933133,1.3178246411229797
12,1.0214560726975104,1.3154064495674818
13,1.0051732462671257,1.3112467050585026
14,0.9892071724796048,1.3096846608535957
15,0.9741841447187161,1.3111291579678734
16,0.960133933709174,1.3120609556377478
17,0.9476070805682498,1.3122383163733025
18,0.9350432038097148,1.3181483746785962
19,0.9238027163581267,1.3156292463824695
20,0.9127725406906836,1.318686565157653
21,0.9023954310100459,1.3192683182393574
22,0.8915353727750758,1.3239687140345104
23,0.8823578856683146,1.324621980417788
24,0.8734578353122193,1.3273128660139764
