iteration,train_mae,validation_mae,train_rmse,validation_rmse
1,0.32407642925415214,0.3235559612352099,0.40893666597258577,0.38124823295611654
2,0.31789770938391587,0.32035015060645555,0.40109917220879915,0.3781635059608937
3,0.3127261068421349,0.3186740980441482,0.39401551813629654,0.3758953218558051
4,0.3074975415460232,0.316144420248171,0.3871478975967737,0.37311070506221267
5,0.30201559284997287,0.3140275646079234,0.38028032977543397,0.37151023110890224
6,0.2968373228855392,0.3121207385760329,0.3737106903646052,0.369818287947977
7,0.29218255058944914,0.310280225877983,0.36764333757125506,0.36826475108823326
8,0.28774260936688034,0.3093377382568912,0.3619543936924162,0.3676187968227604
9,0.28336902520101903,0.30772993870285714,0.3559681106938427,0.366275457453776
10,0.27916928415994474,0.30662095622933605,0.35074046990848706,0.365572392059266
11,0.27524341026088806,0.3059521563035783,0.3456755493516446,0.3650846677766152
12,0.2717236370546786,0.3064230415776572,0.34174365084471925,0.36537817952765744
13,0.2684371451319609,0.3062728944676465,0.3377931341906569,0.36551864185010685
14,0.2654003571851876,0.3058065969182242,0.333962437969142,0.3657001479898994
15,0.2627550180300896,0.305123911016742,0.3300795357859704,0.3655063042342593
16,0.2599611365274211,0.3044685179552549,0.3266055968702968,0.36526095245052476
17,0.2574350833688853,0.3035918431471703,0.32344006848709717,0.36512340933525544
18,0.2550718583701604,0.3036286087905515,0.3201569824967627,0.36564443995052215
19,0.25280018218971056,0.3034231602013882,0.3173365883527502,0.3657686315907922
20,0.2503880680870242,0.3028940373006494,0.31434078934418636,0.36542387578960955
21,0.2480090352533033,0.3032565068751979,0.31160358605307914,0.3660799918603398
22,0.24573881845574713,0.30365375324228805,0.30886693455693287,0.3666868064546062
23,0.2435987456107162,0.3045202225721055,0.3061571527623845,0.3677040837031129
24,0.24098513273895047,0.30489405425759514,0.3033395223677195,0.367685117268513
25,0.23899019073183642,0.3051581085527501,0.3009431026732034,0.368192348493281
26,0.23662187996528342,0.30557178543718766,0.2984810302512993,0.36849127019394406
27,0.23469061257247537,0.30635380777804927,0.2964998272538901,0.3695995606818863
28,0.2326024622912086,0.30628725107265375,0.29394677933748264,0.36982399618947603
29,0.23066979088505016,0.3039284804301081,0.2917864693131715,0.36764023094538095
30,0.22890789036166853,0.3039907891630643,0.28970945170753215,0.3678736690306324
31,0.22721862779765076,0.3017989603620721,0.28784659191506534,0.3659433916984621
32,0.22536751630296353,0.302010842967264,0.28580530729737075,0.3663330700214138
33,0.2239065316889959,0.29997532951237676,0.284208497554419,0.3646248232075787
34,0.22248258381751598,0.2999233031984022,0.282414313785761,0.3643754626616345
35,0.22125490286035746,0.29846887202531314,0.2808754243952574,0.36294186560574393
36,0.21996336074488496,0.29762851843292204,0.27920528689794827,0.36209786793572296
37,0.2189470599755435,0.2972656683829669,0.27769500005978687,0.36210823278209175
38,0.21765614826903287,0.2966917432705217,0.27612022838199485,0.3618559961811457
39,0.21690955421606117,0.2956066625484682,0.27523589781125113,0.3609212921340178
40,0.21584585233839654,0.29548883242401275,0.2738923005964479,0.3608886641718593
41,0.21485115725465126,0.2949437951267713,0.2726048739533064,0.36088788873604216
42,0.21382957816880005,0.2946477395175207,0.27133655892773334,0.3609768726748879
43,0.21268925753609802,0.29325073610177027,0.269900791563754,0.35981700417968954
44,0.2117045205178289,0.29358916068124313,0.26860343018320487,0.3605595023904746
45,0.21070930879798505,0.29356267879858317,0.2673477285899141,0.36065217424059487
46,0.21009143017803988,0.293240130199507,0.2664341159609492,0.3606106153626871
47,0.20927699649344705,0.29314133071532894,0.26543904160121634,0.3607000963548435
48,0.20848090333765462,0.2919943454504398,0.26461858999682003,0.35990052745966694
49,0.20767994491106823,0.2921672518923157,0.26355031447626026,0.3602420204564177
50,0.20700724651659996,0.29170136802739066,0.2627859834723413,0.35989849540900176
51,0.2063113444859766,0.2912496319482987,0.2619228787788997,0.35976298898692727
52,0.20583154526302183,0.29022384586389915,0.2612938404175626,0.35914518261769174
