iteration,train_mae,validation_mae,train_rmse,validation_rmse
1,0.533119275621925,0.5384788412854489,0.6985462207425495,0.655073191225032
2,0.5257417741999368,0.5390366125688675,0.6904294751527399,0.6567134406605819
3,0.5184349872474927,0.5380906340952544,0.6829534434181951,0.6575047562222799
4,0.5117598882245308,0.537790380977389,0.6761027009006941,0.6587502546051763
5,0.5057358609344035,0.537505855373478,0.6698298625599165,0.6603800212373593
6,0.4993411059302024,0.5408736761359001,0.6627378444271034,0.6646842224486027
7,0.4940084980399647,0.5397228617356854,0.6570135755937806,0.6626248878521895
8,0.48895722117205453,0.5386275352725741,0.6517792221240141,0.6610029361415605
9,0.48443544483958123,0.5370848945412597,0.6471586628542594,0.6595084401070597
10,0.47984433270893145,0.5361042987894082,0.6427487263860394,0.6586133610432848
11,0.47464072466730645,0.53969272565217,0.6371139253300854,0.6629634029310345
12,0.4707566506275873,0.5381266471215435,0.6324069904290752,0.6610309151127118
13,0.46589731122844047,0.5414699275908066,0.6273344335660539,0.6653686779740996
14,0.46230948079572154,0.5400059268665218,0.6231120492236707,0.6638373495564208
15,0.458079049841411,0.5421625923288582,0.6192702844893592,0.6659571990835952
16,0.45392507746908767,0.5452191417990928,0.6148110967939501,0.6702544060890194
17,0.45154849701133914,0.5449945540273955,0.6113332050152016,0.6707306272854847
18,0.4473811198073414,0.5487728370161323,0.607031549879025,0.6750926425840008
19,0.4443183790004612,0.5499539196995636,0.6030893267366799,0.6747182996202202
20,0.4410069863293818,0.5508735872794221,0.6000615387613869,0.6765670332854693
21,0.4377508342993287,0.5517850259986868,0.5972001331127752,0.6778553111431239
22,0.4348593175399726,0.5537606994557793,0.5941835895387898,0.6801656344067061
23,0.43314230108254137,0.5536021037570957,0.5913947241456006,0.6809666819623885
24,0.43057649010202265,0.5568296086531984,0.588089259420315,0.6850291718188586
25,0.42856790343358214,0.5562736188143971,0.5851091347256556,0.6857690729994318
26,0.42547863801081653,0.5597797137049503,0.5816619465046623,0.6906331860933683
27,0.42328784107758716,0.5609475035170939,0.5788099836884489,0.6906739639830517
28,0.4204053636577326,0.5622121634912609,0.5762607743615071,0.691837160747984
29,0.41757995913391105,0.5658608641449737,0.5733064564012644,0.6964220826721762
30,0.41546795649892876,0.5647569532349062,0.5704075484758157,0.6950668497635207
31,0.41411982960515237,0.5651597984525439,0.5682168206997749,0.6948052838202231
32,0.412517058306211,0.5674543816438695,0.566198346830977,0.6982167997358342
33,0.40965559586883343,0.5685351356673998,0.5635901296931562,0.6989862786253496
34,0.4080052439010819,0.5699771312169536,0.5615085230528315,0.6990990696521433
35,0.4061540387215675,0.5689587349955225,0.5590118796612396,0.6978645975517087
36,0.40374597566341275,0.5687426916437424,0.5562890272425816,0.7000575142281996
37,0.4011743063610874,0.5697412657321279,0.5540261068996296,0.7008333849929324
38,0.3996564858080245,0.5711069246042714,0.5521200521245861,0.7015664404714571
39,0.3974208463309924,0.5708875417252219,0.5496882074391438,0.7036882663109089
40,0.39581919093693313,0.5703046998137133,0.5477473699735556,0.704216543035916
41,0.3933986918409531,0.5712311840719929,0.545693686072437,0.7049170904263974
42,0.39219971460509817,0.5725537086717319,0.5439550767986582,0.7051488576911873
43,0.39082375040153305,0.5720155440103797,0.5422010833452123,0.7057189550929772
44,0.38862511656807597,0.5716935280505714,0.5400982096644243,0.7052775659337756
45,0.38671714605168517,0.572898884330443,0.5384450947544355,0.7075462380116373
46,0.3855712688926666,0.5722585283454272,0.5367068700597946,0.706745526823968
47,0.3836007179045728,0.5719250131541078,0.5347742605175578,0.706314859028135
48,0.38209112513080506,0.57349581672718,0.5332528469578728,0.7098106758276589
49,0.3806015341574587,0.5739041967402472,0.5316803825803839,0.7111933515750068
50,0.37949147661991006,0.5738546116906071,0.5301663415707291,0.7109327879267556
51,0.37824437962811286,0.5749165418588138,0.5288119925567555,0.7130964640955139
